"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Открывается соответствующий текст при нажатии на стрелку вопроса","4029","Проверка ответа на вопрос №4","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"Открывается соответствующий текст при нажатии на стрелку вопроса","4391","Проверка ответа на вопрос №6","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"","1450","Проверка перехода на главную страницу при клике на логотип ""Самокат""","tests","2026-05-02","passed","2026-05-02","TestLogo","test_logo","",""
"Открывается соответствующий текст при нажатии на стрелку вопроса","4315","Проверка ответа на вопрос №2","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"Позитивный сценарий заказа самоката с разными точками входа и наборами данных","5228","Успешное оформление заказа: кнопка header, пользователь Гарри","tests","2026-05-02","passed","2026-05-02","TestOrderPage","test_order","",""
"Открывается соответствующий текст при нажатии на стрелку вопроса","4013","Проверка ответа на вопрос №5","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"Открывается соответствующий текст при нажатии на стрелку вопроса","4014","Проверка ответа на вопрос №0","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"Открывается соответствующий текст при нажатии на стрелку вопроса","4729","Проверка ответа на вопрос №1","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"Позитивный сценарий заказа самоката с разными точками входа и наборами данных","4799","Успешное оформление заказа: кнопка home, пользователь Фродо","tests","2026-05-02","passed","2026-05-02","TestOrderPage","test_order","",""
"Позитивный сценарий заказа самоката с разными точками входа и наборами данных","5085","Успешное оформление заказа: кнопка header, пользователь Фродо","tests","2026-05-02","passed","2026-05-02","TestOrderPage","test_order","",""
"Открывается соответствующий текст при нажатии на стрелку вопроса","4040","Проверка ответа на вопрос №3","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"","5200","Проверка перехода на главную страницу Дзен при клике на логотип ""Яндекс""","tests","2026-05-02","passed","2026-05-02","TestLogo","test_logo","",""
"Открывается соответствующий текст при нажатии на стрелку вопроса","4175","Проверка ответа на вопрос №7","tests","2026-05-02","passed","2026-05-02","TestQuestion","test_question","",""
"Позитивный сценарий заказа самоката с разными точками входа и наборами данных","5445","Успешное оформление заказа: кнопка home, пользователь Гарри","tests","2026-05-02","passed","2026-05-02","TestOrderPage","test_order","",""
